Emotion,Statement
shame,foreign student playing loud music night biology examn
guilt,friend argument earlier phoned one may influenced argue
guilt,guilty gossiping blaming others one superior workplace made formal reprimand
disgust,robbery mentioned sadness
shame,always felt ashamed people s behavior old parent felt hurt shy left mercy fate
fear,tell someone interested remaining celibate alone spiritual master strictly prohibited sexual relation outside marriage caused great fear lack conviction afraid hurt someone s feeling despite hurt process
anger,girlfriend one day went promised back pm however first arrived pm without message we go evening
guilt,moment affect offended person close me given ground trifling comparison way insulted him moment later felt sense guilt
sadness,one closest friend died unexpectantly
sadness,argument friend
disgust,letter word tv programme roche entertaining conservative relation wanted see first episode
disgust,loose friend over estimating themselves
anger,i m crazy football team lost goal paulist championship lost classification
shame,asking someone give back money lend needed myself
fear,thinking death eternal it unknown sense here often laying bed dark quiet fear make feel dizzy
shame,failed elected class leader
guilt,finding misunderstood people
anger,get home late father scold make angry
anger,school teacher allowing u go new year s eve class trip overseas
guilt,forgot cook something mother told to supper time food supposed prepared there
anger,father helping kid fight kid
fear,grenade blew next me
sadness,morning sleep feeling someboby attacking me started cry sleep room mate woke up
anger,friend promised give lift graz sure called went told promised another person give lift
joy,felt happy learnt qualified grade eight
disgust,comsomol meeting last one graduate way one fellow student behaved made feel disgusted
fear,two guy fighting murderously feared one would killed
disgust,feel disgusted got aa a yesterday s practicals g
sadness,grandfather died
joy,saw brother church publically accept jesus christ saviour lord
guilt,mother told enveloppes tearing i torn stamp away good faith first day enveloppes father collected young man
fear,driver licence drive long time started drive again get hard transit highway
shame,important situation me father behaved inadequately
disgust,stayed house friend washed face wanted dry towel towel seemed used long time already smelled indefinably awful
shame,failed one test worked hard enough
sadness,realized girlfriend like going separate
disgust,maltreatment child
sadness,shouting friend
fear,feel fear imagine could lose confidence ability power similar feeling feel sometimes exam
disgust,found girl bed another man
sadness,dog shot killed roe liked much could resign that hated hunter shot him
anger,mother carried using mental pressure concerning something serious real burden me
anger,corner shop patronise regularly note purchased worth good really needed keeper made sarcastic remark others people using cash note
guilt,ignored offended parent eve new year
sadness,sudden sad heard cousin usually paid school fee passed away short illness
shame,day boyfriend couple friend bar said something like i remember what without thinking slept back getting ashamed sorry after
sadness,terribly upset kitten got hit car die several week thought might put down
shame,forgot birthday best friend innocently came visit one week later
fear,fear turn examination paper would take lacked confidence
anger,meet friend bus stop he coming visit u turn up waited time about hour called up told intend come feeling tired
fear,hero chased terrible vampire suspense horror film shown t v
disgust,happened see two boy fighting one fell hurt head one used spank head boy ground
disgust,talking person hypocrite felt disgusted reaction
disgust,getting up found live cockroach bedroom
guilt,grade late home school every day week harassment grade boy lied mother home late
anger,first saw person begging
fear,driving fast small road met oncoming car right handed bend driver side road skid avoid collision dark
joy,received best actor award inter college drama competition gave tremendous joy satisfaction lasted several day
shame,well examn easy
anger,friend mine played joke another friend telephone friend cry called got angry made person apologize
anger,sofa flat belonged old tenant acquaintance picked year ago postponed it eventually decided one date stayed home despite fact thing do come call still got touch me
guilt,driving car wanted pick something floor car drove guide rail thought done felt guilty
anger,travelling delhi bombay booked seat one month back also got telegram confirming this however train name omitted reservation sheet one seat still vacant alloted another person paid despite request seat allowed stay reserved compartment paid money
anger,heard girlfriend talking behind back looking me
anger,bicycling along courier van started tail close sped moved same reacted violently much physical responding dangerous situation
anger,found cousin mine taken away trouser without consent
shame,took exam failed terribly studied
shame,went see doctor take clothes could examine me
guilt,one day working went dinner friend without parent knowledge came home hour
anger,angry india lost triangular cricket trophy held australia angry fought orally friend
guilt,became angry boyfriend without reason know cannot bear angry can t study anymore then
guilt,felt guilty one day accused running away class caught
shame,homework home relative came advised help mother house work
sadness,quarrel parent
shame,shameful moment heard failed primary school leaving certificate exam girlfriend news released
disgust,brother promised money failed fulfill promise
sadness,last really felt sad left home leaving long time pre kindergarten relationship behind
anger,moved flat friend lived before left flat terrible mess angry sloppiness impudence
guilt,tell someone no word refuse something although could helped him
fear,first sat entrance examination
sadness,schoolmate went hospital brain bleeding fell unconscious three day went see saw miserable state family in moreover could nothing her sad finally died
anger,home lost three piece puzzle
joy,heard passed primary school leaving certificate selected go secondary education
sadness,thinking friend overseas
anger,implicit agreement sister meeting her however understood situation way turn up
anger,invited two friend go together two girl kept talking boy chatting etc bacame sick it
joy,felt happy received letter telling admitted university
guilt,family discord uneasiness due something communicate time
disgust,used play group classmate found later cheap thought behaviour conduct would smoke fight speak foul language thought destroyed image college student
joy,sitting alone quiet room concentrating thing happening around plea me
fear,afraid mother left alone live house one month
sadness,loss close relative
shame,fulfilling obligation person respect
shame,new year eve drank much alcohol much vomit presence people
sadness,listening watching tape someone aid prejudiced counselling course aid others
shame,caused fault v c r following instruction carefully
joy,finished homework
guilt,one day took packet sweet certain grocery nathenje later started feel guilty realised done wrong thing him
sadness,girl halped go living made happy see even two three day
joy,felt joy heard accepted free university driebergen
fear,saw movie poltergist
joy,stayed month without seeing mother holiday short home far time mother came see school joyful want go
shame,woman respected much made pregnant unexpectedly man caliber never expected
shame,fat ashamed body
shame,saw father coming bathroom thought alone home came without clothes
sadness,grandmother died see mother weep
fear,friend started misunderstand hurt me
fear,saw horror film
anger,fiancee parent s place watching tv two tv chair sitting drunken brother came rudely chased fiancee chair sitting on
fear,applicable myself
guilt,prayed unfaithfully
sadness,dog died reared nearly three year ill several day eaten anything one morning found dead
guilt,able help friend homework
disgust,work get full co operation colleague complete assignment
shame,hit dog car stop
disgust,year ago served army collegue denounced delict usually committed arrested day still detest man
fear,movement bush late night camping
shame,time ashamed presenting seminary even speak class
fear,cinema sister boyfriend man sitting beside started stroke leg while left middle film
sadness,felt sadness notice i m important determinate person many thing friend see soon after anything u think u
joy,noticed meryl streep similar cheekbone jaw structure
fear,watching triller dark night country go outside toilet own
fear,horrible dream one night dreamt fallen crowded train
sadness,finding china poor cannot good reference book
sadness,received message elder brother involved car accident admitted hospital
guilt,calling lecturer nickname talking houseman they told ne even younger giving public lecture
anger,arguing price private shop assistant
disgust,boyfriend contact summer holiday met day registration looked him canteen asked wanted drink said want favour
joy,went visit friend companionable
joy,felt happy mother borrowed car order let go alone first time
shame,got pas mark h s s compulsory course people performed well
shame,think rather shy mix people would liked to shyness
shame,forgot mother s birthday
joy,scoring goal football match
sadness,little brother passed away mysteriously least told it
fear,neighbour s house broken shot could heard
shame,finishing homework
shame,allowed boyfriend touch me briefly
anger,last week organization summoned executive meeting one executive member s pointed loop hole committee s administration could suggest improvement quarrelled him
joy,got good reaction tutor tutorial group presentation i d given worried about
disgust,park near home group young people strangely dressed seated middle street began eat carressing other
guilt,friend mine drunk argument street woman appparently girlfriend walking side street thought supposed interfere later heard shot evening
shame,writing primary school leaving examination fallen step going exam room
anger,brother took money use purpose
disgust,nightmare dreaming bloodsucker tried shake body everywhere get glued suck lot them panic
shame,can t think any
disgust,main disgust codfish detest even smell it
fear,mother sister sitting sitting room watching film tv father came home drunk told u turn off switched fuse started shouting sitting dark afraid would u harm
disgust,doctor ignored relative complained pain dying cancer
guilt,falling love imagined particular girl perfect completely overshadowing girlfriend afterwards realized image objective felt guilty girl
sadness,transferred chichiri secondary school st mary s sec school happy chichiri day scholer made lot friend going boarding meant parting friend well boyfriend first time
fear,feared pregnant planned would compelled abortion would liked all fortunately week s anxiety got know pregnant
shame,tried pas examination particularly well worse ever felt ashamed
fear,brother went shoot wild duck feared boat would overturn would drown gun would accidentally go off
disgust,failed secure employment form lusaka despite excellent certificate
guilt,think family parent brother sister guilt part feeling
anger,girl talking rubbish me
joy,passing driver s examination after two failure
shame,liked boy would feel shy blush wanted avoid blushed
sadness,sad saw beautiful girl attainable
anger,gave tutorial student found lazy pay attention taught easy question wrong deliberately
guilt,felt guilty mislead person thinking close friend person casual acquaintance
disgust,friend invite parent graduation ceremony
joy,funeral acquaintance felt depressed feeling turned joy heard achieved good grade examination
fear,could find way college building night
sadness,someone close became paranoid schizophrenic unable see person situation
disgust,studying examination asked work unavoidable
guilt,eating last remains dinner someone else unknown me claimed
shame,well examn
disgust,saw someone messing room
joy,red cheeked content child run meet yard kindergarten give moist kiss cheek
joy,told quite unexpectedly one wanted become vice chairman student organisation really surprised joy first emotion felt though behind worry shall succeed
disgust,school detested spinach gruel lump flour it
shame,studied exam pretended sick go school lied mother realized lying got home work found friend s place
guilt,say something inappropriate hurt people close me
shame,child recite poem show end term
anger,unjust punishment friend mine
disgust,evening watching tv little brother came started eating food brought kitchen trying concentrate program
sadness,met good friend year realized grown certain distance u
sadness,boyfriend said want see anymore which turned untrue
anger,when drinking glass water found cockroach walking glass
fear,spring ice melting far jetty poked ice long branch try break it branch went ice fell in water closed head
shame,stole book class teacher caught me rest class laughed attempt
guilt,told parent or realistically would wanted anymore guess sort betrayed done me
fear,tutorial group soon divided got list name freshman five group read name group went way seminar room wondered would cope new situation would succeed group leader
guilt,hurt person s feeling
anger,enjoying company bird life eating lunch park group people began throwing stick bird reason satisfaction seeing scared away
guilt,crashed father s car
fear,heard father found letter boyfriend calling talk it
disgust,driving along saw young guy urinating gutter broad daylight
shame,blurted answer class without asked so teacher told bad manner so
sadness,a documentary baby fur seal clubbed spiked death canadian seal hunter brutally graphic b description disfigured orphaned child hiroshima calling mother
sadness,work
sadness,friend come see me stayed several day got well left feeling emptyness
disgust,roommate messing room
joy,thought going fail subject began study final exam friend told passed it meant could go home study hometown
joy,selected university
joy,week phoned old friend lost contact year ago
disgust,people like all one reason physical appearance
disgust,felt disgusted team poor perfomance prior league play
disgust,flicking magazine showing picture homosexual men committing various act
anger,seeing first time picture called treatment jewish people nazi germany world war ii
anger,stolen bottle rum person know well threatened call police pay shilling
anger,parent like friend told stay away him
disgust,felt disgust toward meat felt sick steak week meat
disgust,disgusted existing red tape government office accquired passport three month applied go back five time correct minor error
guilt,together boy friend two half year got know another girl even tried conceal me drew conclusion left also felt bit guilty happened
guilt,overate lunch
anger,gave personal information friend mine told others implicated affair
anger,one colleague accused stolen iron sure done thing
disgust,holiday someone vomited front me
guilt,felt guilt betrayed person loved
fear,one night alone home fear caused strange noise put imagination work
sadness,sad heard cousin died bewitched husband s second wife
sadness,class mate died two month coma car accident
guilt,passed out female friend mine apparent reason influence drug like get mad anyone however small provocation
guilt,failure complete medical course result failing fourth year twice
fear,nearly beaten brother girlfriend
guilt,torn inner tube bike mine saw brand new one felt guilty then
disgust,felt disgust lady teacher used nag mock interrupt everyone fellow student time class first year
guilt,using sister s stereo everyone out know want would get trouble found out partly justified forbidding use it never found out
sadness,would liked go chat acquaintance realized wanted felt hurt disappointed lonely deserted
joy,watched football match old friend performance team good team member full spirit match excellent every time goal scored felt excited
disgust,saw roommate messing room
shame,told lie someone someone else found questioned it
guilt,fulfill request girlfriend mine though categorically promised believed hindrance partly objective reason also organize myself
joy,met great friend talked little him see another miss
disgust,stand bus stop one hour waiting bus arrive
anger,room mate making noise deliberately playing flute early morning trying study
fear,sitting bus coming back school man nearly forty year sat beside me looked saw looking opened throusers holding penis
anger,found boyfriend dating year another girl s house previous conflict concerning girl always claimed friend
disgust,found cockroach crushed two folder bedroom called mother
shame,discussing subject knew little it holding ground showed wrong
shame,group friend began make critic me
shame,passed gossip untrue cause two friend fight already experiencing difficulty other
shame,look karate teacher came training lesson trained one week totally stiff ashamed
guilt,brother ran away home thought continously scolding him
anger,one day really angry food eaten dog anger mother careless keep food hidden proper place
sadness,close friend travelled another country knew would come back many year felt sad
guilt,get irritated son scream sick clean clothes
joy,girl love smile me
disgust,applied job galso counselor made strongest possible application denied interview felt disgusted system promoting cause minority make employing white lowest priority
disgust,felt disgust saw dead animal roadway
anger,concentrating work friend disturbed continously asked stop vain
sadness,father th th generation colonial from eng attacked verbally chosen partner man discarded colour skin white ultimate disgust saddned me
fear,occured preparing midterm social welfare thought going hard felt unprepared for
joy,church choir came one sunday away week
joy,i d got top mark exam
fear,four year girl ran away father straight front car forced use emergency brake
disgust,read racist slogan wall
shame,caught parent compromising situation girlfriend
sadness,car froze could start it
joy,received message i d accepted school really wanted go
shame,certain girl believed life partner refused engagement
anger,heard friend grumbling adjoining room although behaved friendly way present
guilt,friendship certain girl sometime love going well happened made friendship come end suddenly without good reason
fear,watched terrfying film lt film really pushed heart body forced go second reel ended
guilt,spent weekend friend instead studying exam
joy,found girl love loved too
disgust,friend worked community centre holding booth one day friend went another booth play meant busy could maintain order behaviour disgusted me
shame,one day felt dizzy lecture lecturer asked u heard fairy tale one put hand surprised whole class
fear,walk street late night friend attacked one night without reason it
guilt,holiday boyfriend turned away outwardly therefore danced another man raised certain hope him explain circumstance
guilt,little accident bos car
disgust,lecturer great detail spoke sexual experience
guilt,mentioning book person borrowed it
disgust,friend woke middle blessful sleep knocking door started calling name saying heard talking behind back lie guy drunk core
shame,played stage play suddenly front people could remember word say
shame,able party home friend
sadness,loss close relative
disgust,one day important place met group girl waiting bus girl started smoking commanded smoke felt disgusted
anger,two boy know telling me indecent manner teased young shy girl know despised conviction scorned touched her got angry try conceal gave back them
fear,dark suspicious looking character come towards me
sadness,broke boyfriend seven month indepth relationship feeling grief loss felt immense sadness
joy,receiving notification made successful application speech therapy course uni gave good feelig achievment joy
fear,remember form teacher fierce dogmatic foot would tremble whenever saw face fact go class
sadness,heard last regulation socialist govrenment concerning pension
anger,person trusted lot gave many false explanation justify wrong action
disgust,found family friend embezzelling company worked using company petrol food supply claiming furniture crockery
anger,sport fisherman catch gull instead fish hook often mistake make angry
fear,age year always take care little brother sister never could sleep then always imagined creepy men sneaking house
anger,colleague asked study her could explain thing perfectly expected reacted aggressive manner
fear,friend female holiday great barrier island ourselves one night nearly raped local came bach tried break door down stoned drunk hid bunk totally terrified eventually guy gave went looking u beach escaped slept bush night
shame,party spent night friend drunk morning disillusioning friend leaving room felt shabby immoral
shame,confession parent involvement moped theft
fear,facing mad dog
joy,friend mine asked go camping fortnight
fear,raped went dark alley back house man pushed bush fought back succeeded escape
fear,attempted rape guy held arm behind back molested me constantly threatening beat me penetration occur driver car stopped that
guilt,environment person much worse me realize privileged am
joy,boyfriend last told loved gave impulsive kiss
joy,possibility getting better professional life valorized much aspect people showed possibility real fact even
guilt,child used play cousin gushing wather front door house one day decided gush passing car driver stopped went discus mother aunt there
guilt,heard girl friend chosen english lecture not lost temper upset now
sadness,sad hear brother motorbike accident
joy,found mother cancer
shame,something naughty lead embarrassment parent
anger,friend badly beaten stabbed many time person got away without punishment law
shame,told acquaintance mine something regretted later
sadness,told father passed away
sadness,neighbour friend mine stabbed death thief kabwe stole van
shame,year old caught ticket collector travelling without ticket
guilt,first time played myself despite christian read bible wrong make love someone one married to
guilt,one parent insinuates something they divorced
joy,wrote difficult exam one time secodary school result announced radio came second student hence felt joy
fear,primary school accused boy love certain girl class shout beat girl matter reported headmaster
guilt,copy someone else s problem set
shame,ashamed failed test standard teacher told student shout laugh me
shame,inadvertantly found lady room
fear,held water large wave thought drowning
guilt,helping parent enough home farm happened many time
disgust,gone native village went visit tribal group belief goddess kali festival day offer hen goddess cut head hen right front eye felt disgusted evenb gave eating meat incident
joy,waiting impatiently result form examination almost year last received letter acceptance senate university zambia telling made first year course unza
fear,car accident woke heap stone
sadness,sometimes experience sadness sport high school unrealized dream sport anyway spent six year life
shame,failed s s c examination felt ashamed
joy,together best friend
disgust,disgusted university wanting u travel home lecture every day way whole thing handled disgusted me
shame,obviously done work badly class mate student s association blame me helped work
disgust,uncle mine ill started cough wich sounded dirty he can t help course
guilt,felt guilty one day stole slice bread cafeteria
fear,diving deep sea reach floor felt breathless cautious doubted able come surface inhale
shame,answered father rudely
sadness,ill coming back hostel felt sad leaving home
disgust,red report magazine vesa iranian telling lived prison iran felt disgust people
fear,staying relative s house broken before
anger,friend mine promised arrange ticket concert considered important could get way thought would gave whole thing
disgust,disgusted way bus conductor threw old woman oiut mini bus simply could pay fare luggage
sadness,disease subsequent death close acquaintance sadness accompanied feeling powerlessness i also experienced sadness situation described guilt
disgust,felt today bus driver shouted rather indecent word man without reason whatsoever
shame,child s film played clown spotlight camera director demanded jump guffaw
fear,issue worried rather saddening me mid september went guanggho alone looking accomodation evening walked mile still could find anything could do worried sleeping street procedural problem finally found place sleep o clock
disgust,clean lavatory obstructed friend s country house nobody help me
anger,playing football tournament saw rule openly disregarded
sadness,go trip friend holiday
disgust,shopping utrecht friend also ate chip snack snackbar saw shabby fellow took cold half eaten croquette a snack rubbish bin eat it
guilt,evening opened songbook singing song those day guilt feeling became stronger lyric described well really wrong wish made really bad would really happy would play happily together like day secondary school would disappointed gloomy me
joy,watching asian olympic game china winning
fear,one time injured playing football school blantyre brought hospital leg totally swollen x ray confirmed fracture collection blood n muscle feared started incise swollen part surgical blade
anger,deputy manager summer certain deputy took liberty normal
sadness,another person s mother died
shame,beaten lost football match scored third goal side
anger,little brother mine damaged cassette
shame,attending affair taking time bank officer felt clothes appearance place raggy
guilt,got associated boy one year ago neglected best friend relation boy finished behaved easy going towards me felt guilty then
sadness,grandfather s funeral remembered thing liked respected earth thought attained wanted separated longer
fear,left alone dark big building
sadness,favourite horse died tried best save him hopeless shot
anger,person i m affair talk public
anger,friend started shout me called old frump
disgust,study visit chicken factory butchery smell environment noise
disgust,saw picture gothenburg post totally demolished car two fatally injured passenger car badly damaged get body scene accident
anger,angry patient refused take drug
disgust,entered toilet bar stank
fear,nearly attackad man chasing me
fear,taking exam
sadness,sister scholarship norway particularly walked across tarmac get plane looked back u
joy,student institute m phil degree one professor called convocation told you got gold medal first rank university tomorrow t v
sadness,leave home go place study
guilt,school tell teacher laughed punished entire class making stay behind one hour
guilt,sense guilt parent discountinue study first year unpassed exam
sadness,sad heard auntie passed away
fear,fear lack personal power
guilt,felt guilty lost k friend arrested
joy,party met old friend adult education course met year thought lot other wonderful experience
fear,experience fear people fighting social one night one relative involved fear greatly assaulted badly
shame,bribed person caught something supposed done ashamed done
guilt,see mother force little brother year work hard school agree constantly put work tell her nothing change
disgust,boarder burping meal
joy,living room home ex boyfriend nearly year separated talk began remember courting gave long kiss
disgust,saw spider
disgust,disgusted brother s behaviour kept throwing thing away anger mum shouted him
guilt,argument friend mine would let speak began shout her got angry left try prevent leaving
anger,father lost temper home mistreated work
disgust,male friend mother a widow moved live u like man
guilt,felt contributed possible rift relationship boy girl soon married flat moved in stating celibacy overheard previously know suspect
guilt,once accidentally injured boy eye almost lost it
anger,girl may loved truly refused come occasion she another town
disgust,heard broadcasting programme parapsychology people programme used difficult word understand acted exaggerated without showing feeling
shame,meeting friend got good university
shame,angry month ago kicked backwards wall caved show parent angry mother said something able find clothes size something i m sensitive about
joy,sister s first child came home one week intensive care hospital
disgust,time went see one girlfriend area found room sleeping room woman visitor child room smelling badly faeces urine stay longer
guilt,removed article clothing belonging employer position trust
shame,inadvertantly entered lady room met girl way out
fear,year ago way school forest path came across exhibitionist
shame,talked psychotherapist first time started cry first talked say anything cry
anger,subject false accusation got angry
sadness,one closest friend failed make third year university
shame,co resident opened bathroom door bathing inside
shame,masterbated another boy
shame,felt ashamed confronted teaching assistant close friend accused cheating math exam
anger,arranged friend go carinthia car arranged place meet bit late friend left already money go train nearly started cry angry important go carinthia
anger,obviously unjustly treated possibility elucidating this
shame,get exam back grade desire get mad say could done better
guilt,boy told nickname little girl doctor tell laughed them
sadness,disappointed friend
disgust,moved new appartment found ventilator kitchen going clean found drum full mud slime felt disgusted
sadness,earlier friend spreading negative rumour me
fear,fear left alone bus depot night problem move place
sadness,old teacher primary school died
anger,f played basket ball match another school s team one team member kicked team mate mine kicked back fight other
guilt,passing good friend s home without coming visit him
disgust,child broke plate given food ground coming home late
sadness,tonight bed realised bad relationship friend wa
fear,going driver s licence third time everything seemed hinged getting it really nervous testing officer made little afraid well lot thing worry about passed however
guilt,talking mom phone told gotten award day front people asked wanted send article temple newsletter me said quickly felt guilty interested hurting feeling
shame,mother asked job require much effort part yet refused selfish reason saw it
fear,walking along subway saw group lout rather afraid alone
joy,studied much final examination school take additional examination french oral examination hard glad heard passed it
fear,walk home dark first time
shame,child played mother nasty trick make feel hurt
sadness,felt sad saw first list name people entered university name there
shame,kicked dog outside cold night annoying me next day came flu thought going die
disgust,one evening boy drunk made pas trying kiss me
disgust,saw starving people ethiopia t v felt awful see suffering
joy,felt greatest burst joy heavily ill long period father came back home
anger,argument close friend relative point view completely disregarded
shame,young mother told neighbour wet bed felt ashamed thinking neighbour s child would get know it
disgust,father promised send pocket money month end since wanted buy new pair shoe secondary school didn t
joy,sitting exam biochemistry excited supplementary examination passed exam well glad recovered selfconfidence
guilt,felt let parent down especially mother sexual intercourse first time time that also went pill
fear,examn
fear,day parent involved car accident operated operation doctor said mater life death
shame,child blamed peeing swimming pool
guilt,lie indulged in year ago raising loan friend
fear,returned home late party last night felt afraid trying anticipate reaction father
fear,sitting car next man masturbating
anger,bus driver failed stop pick bus stop
disgust,sort stomach virus last week vomited college morning cake shop three time trip home got home
guilt,homework went see film
disgust,road dead animal entrails showing skull crushed
shame,school bad mathematics although teacher admonished homework one day forgotten it teacher noticed it blushed ashamed rebuked front pupil
fear,good friend mine behaved cool manner long time
fear,someone tried bewitch friend night
disgust,friend reacted childishly he yearrs old responding favour request is asked money refused reaction quite childish
fear,father angry me locked shower father knocked fist door scared death
disgust,stayed several week friend mine moved live husband one evening came drunk made awful scene still remember
disgust,yesterday elevator man started smoking something tolerate
guilt,attend lecture
fear,got midterm exam result result average near lowest scared final exam
shame,money stolen pocket
guilt,friend needed help much i moment made end relationship
sadness,received message brother seriously ill hospital
sadness,friend badly hurt
guilt,fined speeding
shame,made end relationship three year
joy,joy came first proposed girl secondary school
disgust,behaviour fellow towards others army really mean detested this
sadness,one greatest sadness grandfather died loved much
fear,kindergarten teacher thoroughly weary job taken university entrance exam suffered anxiety week want carry work study alternative
disgust,disgust subordinate
guilt,lost conference got touch certain person inform would go her thought knew wanted
fear,walking home late night lecture someone deliberately started following me dark scared
disgust,friend lunch someone said something funny one guy started laughing spat food girl s face
disgust,transport pick u lunch always late driver made excuse every day
disgust,confronted person negative thought people social status belief color outlook life perspective
guilt,mother scolded argued her
shame,lady flirting told class mate second year first year everyone laughed started looking me
shame,think incident felt ashamed small incident ashamed of instance sending money child ethiopia
sadness,close friend residing hostel lost father really pittied situation made feel sad
fear,terrified axcursion italy lost left alone unfamiliar country
guilt,studied enough exam near
fear,ward one man died instructed watch last office first time see dead person fear came
disgust,went clinical hospital saw condition people attended there
fear,noon one sunday received phone call telling mother knocked car street crossing husband go see her could believe father mother gone together buy lunch box however immediately ran scene accident
guilt,spanked child anger later regretted terribly
sadness,end relationship after year hurt person much
disgust,double crossing mercy maria one day came know other found mercy red haded maria
sadness,slept tent barrack caught fire night best possession got burnt there
disgust,fight mate quarrel
joy,admitted university niece born me
joy,easter holiday working weekend left
disgust,watching violent movie
sadness,get salary increase expecting understood little one s work appreciated
fear,walking home friend night along quiet street something started rustling bush exhibitionist
joy,day yesterday mother bought new pair shoe without asked them told saw pair shoe felt like buying me really liked shoe made feel mother care me
joy,sense joy come always period depression organic feeling upsurge exclude situative feeling case reason me me
disgust,overeating traditional type food blood pudding
guilt,ideal result university entrance examn guilty family friend
joy,friend mine travelled far miss feel joy fer life taking right direction want feel joy mainly
sadness,grandmother died suddenly without warning
shame,feel shame sometimes unconsciously behave unethically without understanding problem man love
disgust,disgusted dropped vital catch playing cricket match lost match though catch difficult
fear,involved car accident thumb caught glove compartment sister fear finally telling parent since sister driver
disgust,got grade c m end first year unza expected c b m easy going capacity mathematics
disgust,summer holiday bar happened see dead world woman
sadness,guy love told met someone else would meet year although steady relatioship affair
guilt,squeezed puppy door
guilt,good enough join team play sport class
sadness,recently happened remain alone long time
anger,given chance explain close relative could go visit ill go thought selfish irresponsible illness
shame,taking exam grade examinator found note book accused copying student laughed me
disgust,someone considered friend without telling annoyed proceeded ignore several meet apparent reason
disgust,boy continued use foul language swearing front group friend
disgust,one day going school brother annoyed me
guilt,arguing younger cousin rather nuisance felt sorry
sadness,got separated first love
joy,passed university entrance exam thus finished difficult period life begin one desired lot
disgust,mother betrayed obtaining money husband separated pending divorce
joy,first child born
guilt,selling appartment divorce
shame,failed grade
joy,got b a degree first class
joy,very well physic midterm
sadness,ran race cal track team terribly coach said sit season felt really sad going able run something always done anymore
anger,neglected undeservedly
joy,parent anniversary hosted party happy
shame,participating theft several year ago
guilt,became angry friend shopping agreed this angry proved without reason felt guilty it
fear,thrown car accident resulted fracture
sadness,close relative dying cancer found last week
joy,got job right school over
guilt,friend mine sleeve leather coat stolen car left everyone see
joy,went doctor complaint doctor told completely healthy
shame,day getting shower covered front part body towel i year old see cousin room
sadness,someone love told love anymore wanted snap given exchange one given her
disgust,feel disgust first boyfriend made fun love abominable way
joy,blank
anger,knew would give transfer one university another began insult educatioon authority government ended door
disgust,felt disgust boyfriend time left me
shame,every time around one person would stick foot mouth nasty one time accidently said something fairly cruel totally inappropriate
disgust,watching film experimental operation cat s brain cat metal piece protruding eye mouth etc keep head stable cut open
anger,mother law slept bed
sadness,several year ago brother died accident heard it sad took year resigned it
fear,drinking soft drink impression swallowing piece glass went district hospital got admitted there
anger,september forced live someone like first week loggerhead conversation like debate atmosphere bad learnt got mark test told failure lost mark angry mark lower his could tolerate pride show discontentment carried work
fear,conflict parent possibility interrupt study
sadness,friend mine lent apartment holiday besides fine person month later knew died tragically moto accident young felt sad believe until today
sadness,breaking relationship decided relationship could carry on surprise me anyhow known would happen sooner later
shame,shame feel properly dressed
shame,mother discovered various item room year old usually expected mainly alcohol marijuana contraceptive
fear,drove stockholm first time drove stora hissingen road wrong exit
disgust,cousin put feaces washing silly idea meant joke
joy,received promotion letter
joy,passed exam
shame,restaurant made acquaintance boy always told thing loud voice laughed said always repeated thing time later heard undergone complicated brain operation
shame,double crossing fiancee one day caught red handed forgave later ashamed done
disgust,flatmate close friend living sleeping another close friend mine
shame,badly chosen word vague acquaintance mine made feel ashamed given wrong impression wanted say thoughtlessness
guilt,forgot take money mother asked would do messed program following day
disgust,grandmother s detestable selfish conduct towards elder sister although behavior due senility lack understanding
joy,child beloved cat gave birth four beautiful little kitten them came followed out witnessed born
anger,beaten thief behalf friend mine thought lot money would part coin drink
sadness,relative like much left united state
sadness,realized girl loved leave me
disgust,attitude related family
disgust,cueing bus driver long dinner
disgust,walking along beach boyfriend saw people sex sand dune full view everyone fact chose area sex disgusted me
disgust,friend mine go guy sleep quite happy play around well herself
anger,quarelled parent
fear,trip phillipines summer staying hotel room staying silent dim light last night felt frightened lay awake could hear sound around dared open eye waited dawn
shame,young told shop buy dozen egg went asked one egg people shop laughed family told happened
disgust,accidentally seeing friend compromising situation stranger
sadness,felt sad told walk classroom within row student making noise
fear,finding able student thought
shame,insulted woman public
shame,boy friend left wanted persuade stay
shame,wearing slit tight dress disco burst open
disgust,last week former school secondary mate mine differentt school came room unza absence drunk vomited room unhappy
disgust,heard year old girl raped four rikshaw driver town
shame,really shameful mother beat presence friend cook lunch o clock
guilt,came home discotheque half past four morning although promised parent come home midnight a m felt guilty towards parent
disgust,broad daylight saw untidy old man pissing playing penis middle town
guilt,one pupil escaped school street
guilt,overhastingly offending hurting
guilt,felt guilty student sitting front exam asked question show answer though knew them
fear,grandfather lung cancer nursed home felt fear alone almost choked mucus secretion
shame,young felt ashamed relative visited u hid myself
anger,angry ability singer underestimated
shame,feel emotion often try express feeling public people understand reaction think silly
joy,person bad term gave present became reconciled
fear,travelling coach rather narrow wet road
fear,driving busy freeway rush hour slightly raining diesel truck coming close behind close behind pick up changed lane barely hit truck ran honda road scared death go back see caused crash
guilt,destroyed step brother s bedsheets mistake one had
disgust,one day went town get grocery way back took mini bus full drunk student felt disgusted
sadness,felt alone without love
anger,one teacher unjustly gave zero test saying cribbing
fear,broke window pane next door neighbour s house
sadness,deceived people ran trouble
sadness,election thought social democrat communist majority could achieve especially worker share fund extension
